group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
main,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",Walling-α,Walling et al. 1980: n(α) 0.25–2.6 µm,main/BeAl2O4/Walling-alpha.yml,0.25,2.6,Walling-alpha
main,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",Walling-β,Walling et al. 1980: n(β) 0.25–2.6 µm,main/BeAl2O4/Walling-beta.yml,0.25,2.6,Walling-beta
main,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",Walling-γ,Walling et al. 1980: n(γ) 0.25–2.6 µm,main/BeAl2O4/Walling-gamma.yml,0.25,2.6,Walling-gamma
main,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",Pestryakov-α,Pestryakov et al. 1997: n(α) 0.43–1.1 µm,main/BeAl6O10/Pestryakov-alpha.yml,0.43,1.1,Pestryakov-alpha
main,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",Pestryakov-β,Pestryakov et al. 1997: n(β) 0.43–1.1 µm,main/BeAl6O10/Pestryakov-beta.yml,0.43,1.1,Pestryakov-beta
main,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",Pestryakov-γ,Pestryakov et al. 1997: n(γ) 0.43–1.1 µm,main/BeAl6O10/Pestryakov-gamma.yml,0.43,1.1,Pestryakov-gamma
main,CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm,main/CaGdAlO4/Loiko-o.yml,0.35,2.1,Loiko-o
main,CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm,main/CaGdAlO4/Loiko-e.yml,0.35,2.1,Loiko-e
main,CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm,main/CaYAlO4/Loiko-o.yml,0.35,2.1,Loiko-o
main,CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm,main/CaYAlO4/Loiko-e.yml,0.35,2.1,Loiko-e
